,volume
0,10
1,10
2,10
3,10
4,10
5,10
6,15
7,19
8,20
9,21
10,23
11,25
12,29
13,30
14,30
15,30
16,30
17,30
18,30
19,30
20,30
21,30
22,30
23,30
24,30
25,30
26,30
27,30
28,30
29,30
30,30
31,30
32,30
33,30
34,30
35,30
36,30
37,30
38,30
39,30
40,30
41,30
42,30
43,32
44,35
45,36
46,36
47,36
48,36
49,36
50,36
51,36
52,36
53,36
54,36
55,36
56,36
57,36
58,36
59,36
60,39
61,42
62,46
63,50
64,52
65,52
66,52
67,52
68,52
69,52
70,52
71,52
72,52
73,52
74,52
75,52
76,52
77,52
78,52
79,52
80,52
81,52
82,52
83,52
84,52
85,52
86,52
87,53
88,55
89,60
90,65
91,65
92,65
93,65
94,65
95,65
96,65
97,65
98,65
99,65
100,65
101,65
102,65
103,65
104,65
105,65
106,65
107,65
108,66
109,69
110,70
111,73
112,73
113,73
114,73
115,73
116,73
117,73
118,73
119,73
120,73
121,73
122,73
123,73
124,73
125,73
126,75
127,80
128,85
129,85
130,85
131,85
132,85
133,85
134,85
135,85
136,85
137,88
138,92
139,94
140,99
141,99
142,99
143,99
144,99
145,99
146,99
147,99
148,99
149,99
150,99
151,99
152,99
153,99
154,99
155,99
