,volume
0,15
1,15
2,15
3,15
4,15
5,15
6,15
7,15
8,15
9,15
10,15
11,15
12,15
13,15
14,15
15,15
16,15
17,15
18,15
19,15
20,15
21,15
22,15
23,15
24,15
25,15
26,15
27,20
28,21
29,25
30,27
31,28
32,33
33,33
34,33
35,33
36,33
37,33
38,33
39,33
40,33
41,33
42,33
43,33
44,33
45,33
46,33
47,33
48,33
49,33
50,33
51,33
52,33
53,33
54,33
55,33
56,33
57,35
58,38
59,42
60,43
61,46
62,49
63,51
64,56
65,60
66,61
67,66
68,71
69,76
70,78
71,82
72,82
73,82
74,82
75,82
76,82
77,82
78,82
79,85
80,89
81,90
82,92
83,93
84,96
85,97
86,99
87,99
88,99
89,99
90,99
91,99
92,99
93,99
94,99
95,99
96,99
97,99
98,99
99,99
100,99
101,99
102,99
103,99
104,99
105,99
106,99
107,99
108,99
109,99
110,99
111,99
112,99
113,99
114,99
115,99
116,99
117,99
118,99
119,99
120,99
121,99
