,volume
0,13
1,13
2,13
3,13
4,13
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
24,18
25,19
26,19
27,19
28,19
29,24
30,25
31,25
32,25
33,25
34,25
35,25
36,25
37,25
38,25
39,28
40,32
41,32
42,32
43,32
44,32
45,32
46,32
47,32
48,32
49,32
50,32
51,32
52,32
53,32
54,32
55,32
56,32
57,32
58,32
59,32
60,32
61,32
62,32
63,32
64,32
65,32
66,32
67,32
68,32
69,32
70,32
71,32
72,32
73,32
74,32
75,32
76,32
77,32
78,32
79,32
80,32
81,32
82,32
83,32
84,32
85,32
86,32
87,32
88,32
89,32
90,32
91,32
92,32
93,32
94,32
95,32
96,32
97,32
98,32
99,32
100,32
101,32
102,32
103,32
104,32
105,32
106,32
107,32
108,32
109,32
110,32
111,32
112,32
113,32
114,32
115,32
116,32
117,32
118,32
119,32
120,32
121,32
122,32
123,32
124,32
125,32
126,32
127,32
128,32
129,32
130,32
131,32
132,32
133,32
134,32
135,32
136,32
137,32
138,32
139,32
140,32
141,32
142,32
143,32
144,32
145,32
146,32
147,32
148,32
149,32
150,36
151,37
152,40
153,40
154,40
155,40
156,40
157,40
158,40
159,40
160,40
161,40
162,40
163,40
164,40
165,40
166,40
167,40
168,40
169,40
170,40
171,40
172,40
173,40
174,40
175,40
176,40
177,40
178,40
179,40
180,40
181,40
182,40
183,40
184,42
185,44
186,48
187,48
188,48
189,48
190,48
191,48
192,48
193,48
194,48
195,48
196,48
197,48
198,48
199,48
200,48
201,48
202,48
203,48
204,48
205,48
206,48
207,48
208,48
209,48
210,48
211,48
212,48
213,48
214,48
215,48
216,48
217,48
218,48
219,48
220,48
221,48
222,48
223,48
224,48
225,48
226,48
227,48
228,48
229,48
230,48
231,48
232,48
233,48
234,48
235,48
236,48
237,48
238,48
239,48
240,48
241,48
242,48
243,48
244,48
245,48
246,48
247,48
248,48
249,48
250,48
251,48
252,48
253,48
254,48
255,48
256,48
257,48
258,48
259,48
260,48
261,48
262,48
263,48
264,48
265,48
266,48
267,48
268,48
269,48
270,48
271,48
272,48
273,48
274,48
275,48
276,48
277,48
278,48
279,53
280,55
281,55
282,55
283,55
284,55
285,55
286,55
287,55
288,55
289,55
290,55
291,60
292,65
293,65
294,65
295,65
296,65
297,65
298,65
299,65
300,65
301,65
302,65
303,65
304,65
305,65
306,65
307,65
308,65
309,65
310,65
311,65
312,65
313,65
314,65
315,65
316,65
317,65
318,65
319,65
320,65
321,65
322,65
323,65
324,65
325,65
326,65
327,65
328,65
329,65
330,65
331,65
332,65
333,65
334,65
335,65
336,65
337,66
338,69
339,70
340,71
341,71
342,71
343,71
344,71
345,71
346,71
347,71
348,71
349,71
350,71
351,71
352,71
353,71
354,71
355,71
356,71
357,71
358,71
359,71
360,71
361,71
362,71
363,72
364,73
365,75
366,76
367,76
368,76
369,76
370,76
371,76
372,76
373,76
374,76
375,76
376,76
377,76
378,76
379,76
380,76
381,76
382,76
383,76
384,76
385,77
386,78
387,80
388,80
389,80
390,80
391,80
392,80
393,80
394,80
395,80
396,80
397,80
398,80
399,80
400,80
401,80
402,80
403,80
404,80
405,80
406,80
407,80
408,80
409,80
410,80
411,80
412,80
413,80
414,80
415,80
416,80
417,80
418,80
419,80
420,80
421,80
422,80
423,80
424,80
425,80
426,80
427,81
428,86
429,86
430,86
431,86
432,86
433,86
434,86
435,86
436,86
437,86
438,86
439,86
440,86
441,86
442,86
443,86
444,86
445,86
446,86
447,86
448,86
449,86
450,86
451,86
452,86
453,86
454,86
455,86
456,86
457,86
458,86
459,86
460,86
461,86
462,86
463,86
464,86
465,86
466,86
467,86
468,86
469,86
470,86
471,86
472,86
473,86
474,86
475,86
476,86
477,86
478,86
479,86
480,86
481,86
482,86
483,86
484,86
485,86
486,86
487,86
488,86
489,86
490,86
491,86
492,86
493,86
494,86
495,86
496,86
497,86
498,86
499,86
500,86
501,86
502,86
503,86
504,86
505,86
506,86
507,86
508,86
509,86
510,86
511,86
512,86
513,86
514,86
515,86
516,86
517,86
518,86
519,86
520,86
521,86
522,86
523,86
524,87
525,91
526,96
